id,sex,own,own_1,wantbuy,wantbuy_1,price,memo
0,,,,,,35900,official price
999,,,,,,32588,market price
1,0,0,0,0,0,28000,guess price
2,0,1,1,0,0,28000,guess price
3,0,1,0,1,1,32500,guess price
4,0,0,0,0,0,28000,guess price
5,1,0,0,0,0,16000,guess price
6,0,0,0,1,1,23500,guess price
7,1,1,0,0,0,28000,guess price
8,1,1,1,0,0,30000,guess price
9,0,1,1,0,0,30000,guess price
10,1,0,0,0,0,32500,guess price
11,1,0,0,1,1,30000,guess price
12,0,0,0,1,0,20000,guess price
13,0,1,1,0,0,28000,guess price
14,1,0,0,0,0,28000,guess price
15,0,0,0,0,0,16000,guess price
16,1,0,0,0,0,23500,guess price
17,0,1,0,1,0,32500,guess price
18,0,0,0,1,0,32500,guess price
19,1,0,0,0,0,36000,guess price
20,0,1,0,0,0,20000,guess price
21,0,1,1,0,0,28000,guess price
22,0,0,0,0,0,35000,guess price
23,1,0,0,0,0,23500,guess price
24,1,0,0,1,1,35000,guess price
25,1,0,0,0,0,20000,guess price
26,1,1,0,1,1,32500,guess price
27,0,0,0,0,0,28000,guess price
28,0,0,0,1,1,38000,guess price
29,1,1,0,0,0,32500,guess price
30,0,0,0,0,0,16000,guess price
